name_customer,cust_number,doc_id,total_open_amount,due_in_date,paymentPredictedDate
WAL-MAR ,200769623,1930729946,77.86,4/17/2020,4/15/2020
SA foundation,200759878,1930729912,14818.32,4/17/2020,4/18/2020
WAL-MAR in,200769623,1930731033,37323.27,4/17/2020,4/17/2020
WAL-MAR associates,200769623,1930731707,63.05,4/17/2020,4/18/2020
INGL associates,200759082,1930732373,77500.25,4/17/2020,4/15/2020
H E BUT in,200761734,1930732477,50564.44,4/17/2020,4/17/2020
C&S WH associates,200762301,1930732636,90719.75,4/17/2020,4/14/2020
SYSC in,140105686,-2147483648,73772.21,4/14/2020,5/17/2020
WAL-MAR ,200769623,1930725182,70261.8,4/17/2020,4/18/2020
WAL-MAR llc,200769623,1930728194,9077.23,4/17/2020,4/13/2020
SUPE trust,200936373,1930738788,72709.91,4/17/2020,4/15/2020
SO trust,140104440,-2147483648,58894.82,4/13/2020,4/23/2020
DOLLA in,200148860,1930730945,12105,4/17/2020,4/21/2020
COST ,200794332,1930763865,13902.7,4/17/2020,4/14/2020
WAL-MAR systems,200769623,1930719795,75565.36,4/17/2020,4/21/2020
BROOKS ,200743129,1930726653,3272.64,4/17/2020,4/13/2020
C&S WH foundation,200762301,1930722676,113868.46,4/17/2020,4/28/2020
WAL-MAR corp,200769623,1930729837,16342.11,4/17/2020,4/18/2020
WAL-MAR co,200769623,1930739008,2352.97,4/17/2020,4/17/2020
WAL-MAR trust,200769623,1930729571,9609.09,4/17/2020,4/17/2020
WAL-MAR systems,200769623,1930725452,75042.71,4/17/2020,4/18/2020
WAL-MAR co,200769623,1930728086,61966.51,4/17/2020,4/17/2020
SA corp,200759878,1930732299,10540.74,4/17/2020,4/17/2020
AM us,200418007,1930730407,14844.46,4/17/2020,4/17/2020
BJ'S  corp,200726979,1930774718,159.12,4/18/2020,3/10/2020
WAL-MAR foundation,200769623,1930730251,1898.9,4/18/2020,3/28/2020
MITCH trust,200799342,1930737029,37248.51,4/18/2020,4/24/2020
WAKE foundation,200704858,1930739172,8977.87,4/18/2020,4/18/2020
DELHAIZE ,100031704,1930736862,66324.11,4/18/2020,4/18/2020
WAL-MAR corp,200769623,1930730252,27713.85,4/18/2020,4/22/2020
SA us,200759878,1930725437,125209.16,5/18/2020,4/10/2020
ASSOCIAT systems,200772670,1930740309,67095.39,4/18/2020,5/6/2020
NASH  trust,200777735,1930747459,852.16,6/7/2020,4/13/2020
SA foundation,200759878,1930731307,12668.17,4/18/2020,4/18/2020
DECA systems,200230690,1930740727,4929.64,4/11/2020,4/9/2020
GROC systems,200915438,1930719388,17747,4/18/2020,4/23/2020
SA co,200759878,1930747250,28557.87,4/18/2020,4/19/2020
METRO  associates,140104423,-2147483648,24290.69,4/16/2020,6/8/2020
SA associates,200759878,1930733245,29674.18,4/18/2020,4/19/2020
WAL-MAR ,200769623,1930730737,58498.39,4/18/2020,4/23/2020
TARG co,200744019,1930737793,7739.02,4/18/2020,4/16/2020
WAL-MAR co,200769623,1930739319,14049.57,4/18/2020,4/14/2020
MEIJ us,200780383,1930738671,41435.75,4/18/2020,4/21/2020
WAL-MAR co,200769623,1930739930,46898.59,4/18/2020,5/30/2020
KROGER associates,200729290,1930737997,11813.32,4/18/2020,4/15/2020
IND systems,100011958,1991841446,44928.75,5/18/2020,5/21/2020
WAL-MAR associates,200769623,1930733307,22281.57,4/18/2020,4/24/2020
SA trust,200729942,1930739885,5642.46,4/18/2020,4/18/2020
WAL-MAR llc,200769623,1930732729,13755.21,4/18/2020,4/18/2020
WAL-MAR foundation,200769623,1930733372,28791.53,4/18/2020,4/18/2020
WAL-MAR corp,200769623,1930732873,27599.14,4/18/2020,4/18/2020
WAL-MAR systems,200769623,1930736111,3797.1,4/18/2020,4/10/2020
LOB associates,140104409,-2147483648,138970.12,4/16/2020,4/14/2020
AM corporation,200418007,1930725705,4594.8,4/18/2020,5/14/2020
C&S WH foundation,200762301,1930736189,113815.79,4/18/2020,4/18/2020
SO ,140104440,-2147483648,55688.21,4/13/2020,4/14/2020
BJ'S  foundation,200726979,1930772967,555.64,4/18/2020,4/13/2020
WINC us,200706844,1930732662,30488.94,4/18/2020,4/12/2020
WAL-MAR foundation,200769623,1930731301,8470.37,6/7/2020,4/11/2020
AFFILI llc,200779051,1930747019,10839.77,4/18/2020,4/20/2020
AR trust,200387798,1930747100,11854.08,5/18/2020,4/21/2020
SYSC systems,140105686,-2147483648,64174.7,4/21/2020,4/18/2020
SUPER  corporation,200749225,1930711453,64685.68,4/18/2020,4/8/2020
TARG trust,200744019,1930738500,8916.67,4/18/2020,4/14/2020
DOLLA us,200148860,1930716269,37484.78,4/18/2020,4/18/2020
WAL-MAR llc,200769623,1930740068,35746.36,4/18/2020,4/22/2020
DECA foundation,200002965,1930739551,17786.64,4/24/2020,4/15/2020
WAL-MAR associates,200769623,1930732631,25089.25,4/18/2020,4/26/2020
H E BUT foundation,200761734,1930745084,34020.96,4/18/2020,4/21/2020
DOLLA corporation,200148860,1930731498,35164.24,6/7/2020,4/27/2020
C&S WH systems,200762301,1930735396,88434.89,4/18/2020,4/25/2020
SA in,200759878,1930725882,15512.01,4/18/2020,4/15/2020
DECA foundation,200230690,1930730663,141.8,4/24/2020,4/18/2020
DOLLAR llc,100001196,1930732381,59762.24,4/18/2020,5/2/2020
WAL-MAR corporation,200769623,1930729522,26103.28,4/18/2020,4/21/2020
SA trust,200729942,1930740312,5663.67,4/18/2020,4/14/2020
ASSOCIAT corporation,200772670,1930745006,9889.42,4/18/2020,4/24/2020
WAL-MAR in,200769623,1930730888,122.57,4/18/2020,4/14/2020
WAL-MAR ,200769623,1930727887,52676.76,4/18/2020,4/17/2020
WAL-MAR co,200769623,1930739471,13015.49,4/18/2020,4/26/2020
WAKE llc,200704858,1930737124,8977.87,4/18/2020,4/18/2020
WAL-MAR foundation,200769623,1930738967,5126.33,4/18/2020,4/18/2020
WAL-MAR corporation,200769623,1930737186,21145.96,4/18/2020,4/14/2020
DECA associates,200230690,1930740830,2694.42,4/8/2020,4/8/2020
SA associates,200759878,1930738344,42020.73,4/18/2020,5/7/2020
WAL-MAR in,200769623,1930731689,8990.24,4/18/2020,4/16/2020
RA in,200704045,1930746915,69412.52,4/18/2020,4/18/2020
WAL-MAR foundation,200769623,1930733362,28359.75,4/18/2020,4/14/2020
GORDO associates,200782001,1930719426,5789.88,4/18/2020,4/17/2020
ASSOCIAT ,200772670,1930739675,745.09,4/18/2020,4/18/2020
SA ,200759878,1930731306,12668.17,4/18/2020,4/21/2020
KROGER co,200875006,1930739386,39378.89,4/18/2020,4/14/2020
COST llc,200794332,1930737018,15729.04,4/18/2020,4/17/2020
DECA us,200230690,1930739977,6692.85,4/8/2020,4/18/2020
PEA us,200455322,1930732280,71136.24,5/3/2020,5/3/2020
RA trust,200704045,1930738292,19436.3,4/18/2020,4/15/2020
WAKE trust,200704858,1930737120,17603.93,4/18/2020,4/21/2020
C&S WH corporation,200762301,1930738956,2906.98,4/18/2020,4/15/2020
ASSOCIAT trust,200772670,1930744188,36917.29,4/18/2020,4/18/2020
COST llc,200794332,1930731965,40175.09,4/18/2020,4/18/2020
DECA us,200230690,1930733541,4511.01,4/11/2020,4/18/2020
ROU trust,200790107,1930740517,82691.28,4/18/2020,4/16/2020
ALBERT corp,200881076,1930740076,5534.66,4/18/2020,4/19/2020
WAL-MAR trust,200769623,1930737909,1898.2,4/18/2020,4/18/2020
KROGER llc,200729290,1930740277,93507.03,4/18/2020,4/14/2020
KROGER associates,200748108,1930732788,9656.82,4/18/2020,4/21/2020
WAL-MAR corp,200769623,1930728948,6483.08,4/18/2020,4/18/2020
WAL-MAR in,200769623,1930731689,8990.24,4/18/2020,4/21/2020
WAL-MAR corporation,200769623,1930729455,13718.02,4/18/2020,4/16/2020
SA corporation,200759878,1930732115,13829.29,4/18/2020,4/18/2020
DECA co,200230690,1930740831,993.72,4/24/2020,4/29/2020
WAL-MAR trust,200769623,1930732401,77266.4,4/18/2020,4/18/2020
ALBERT co,200407025,1930737996,68113.43,4/18/2020,4/21/2020
DOLLA corp,200148860,1930732753,79058.16,4/18/2020,4/18/2020
C&S WH corporation,200762301,1930739297,80582.41,4/18/2020,4/24/2020
H E BUT corporation,200761734,1930747043,1909.44,6/7/2020,4/15/2020
TARG co,200744019,1930737341,4693.21,4/18/2020,4/14/2020
KROGER associates,200729290,1930737997,11813.32,4/18/2020,4/14/2020
SUPE associates,200793568,1930746730,51251.24,4/18/2020,6/3/2020
WAL-MAR in,200769623,1930739071,9781.26,4/18/2020,4/21/2020
COST corporation,200794332,1930732331,47590.68,4/18/2020,4/17/2020
WAL-MAR in,200769623,1930739660,36134.86,4/18/2020,4/22/2020
WAL-MAR us,200769623,1930732403,8580.47,4/18/2020,4/18/2020
WAL-MAR foundation,200769623,1930737906,16335.36,4/18/2020,4/6/2020
WINC associates,200706844,1930744184,907.95,4/18/2020,4/18/2020
SUPER  corporation,200749225,1930738791,20908.39,4/18/2020,5/18/2020
COAS corp,200337148,1930737114,25237.28,4/18/2020,4/11/2020
SUPE ,200793568,1930733074,125544.88,4/18/2020,4/18/2020
WAL-MAR systems,200769623,1930730077,58493.87,4/18/2020,3/9/2020
TARG systems,200744019,1930740288,11745.35,4/18/2020,4/14/2020
TARG ,200744019,1930738117,863.36,4/18/2020,4/18/2020
C&S WH llc,200762301,1930780073,4219.86,4/18/2020,4/22/2020
IND corporation,100011958,1991840364,42820.42,5/18/2020,4/21/2020
DECA systems,200230690,1930740711,13464.58,4/8/2020,4/8/2020
DI systems,200769369,1930733411,120824.51,4/18/2020,4/21/2020
CENTRAL  trust,100054993,-2147483648,4600,4/17/2020,4/10/2020
WAL-MAR foundation,200769623,1930732632,43030.16,4/18/2020,4/18/2020
WAL-MAR associates,200769623,1930731982,40796.01,4/18/2020,4/17/2020
WAL-M corporation,140106408,-2147483648,57268.64,4/7/2020,4/17/2020
WAL-MAR ,200769623,1930733344,433.51,4/18/2020,4/18/2020
WAL-MAR systems,200769623,1930740403,14363.54,4/18/2020,4/15/2020
PUBLI trust,200707822,1930741043,33104.97,4/18/2020,5/21/2020
SYSC corp,140105686,-2147483648,13851.75,4/17/2020,4/18/2020
WAL-MAR llc,200769623,1930746773,45034.81,4/18/2020,4/21/2020
DECA ,200230690,1930733537,3739.88,4/24/2020,4/18/2020
RA trust,200704045,1930738292,19436.3,4/18/2020,4/28/2020
TARG co,200744019,1930738119,8706.4,4/18/2020,5/3/2020
ASSOCIAT trust,200772670,1930745077,74906.16,4/18/2020,4/23/2020
WAL-MAR trust,200769623,1930726781,15.76,4/18/2020,4/14/2020
C&S WH corp,200762301,1930733751,17640.71,4/18/2020,4/15/2020
TARG corp,200744019,1930730636,364.61,4/18/2020,4/24/2020
SA corporation,200759878,1930732115,13829.29,4/18/2020,4/18/2020
GLACIE llc,100030443,1930739685,2818.03,4/18/2020,4/18/2020
AM ,200418007,1930725513,1172.68,4/18/2020,4/15/2020
WAL-MAR trust,200769623,1930731973,75058.95,4/18/2020,4/15/2020
JAVA corporation,100043975,1930743703,1351.2,4/18/2020,4/16/2020
TARG llc,200744019,1930738116,6795.62,4/18/2020,4/20/2020
WAL-MAR llc,200769623,1930732870,16078.46,4/18/2020,4/13/2020
C&S WH associates,200762301,1930732504,9373.97,4/18/2020,4/17/2020
PUBLI in,200707822,1930743921,134512.9,4/18/2020,4/14/2020
WAL-MAR co,200769623,1930722808,43352.12,4/18/2020,4/20/2020
TARG associates,200744019,1930739487,1524.91,4/18/2020,4/22/2020
DELHAIZE co,100031704,1930733107,43738.27,4/18/2020,5/31/2020
PARAM systems,140103335,1991840575,3307.78,5/3/2020,4/24/2020
MID MO trust,200723794,1930738562,14835.94,4/18/2020,4/17/2020
SYSCO  in,200764795,1930729613,7197.35,4/18/2020,4/14/2020
WAL-MAR foundation,200769623,1930736113,78330.87,4/18/2020,4/20/2020
DECA corp,200230690,1930740057,7956.51,4/24/2020,4/14/2020
SHOPPE trust,140105785,-2147483648,3739.92,4/18/2020,5/16/2020
PUBLI corp,200707822,1930745616,670.48,4/18/2020,4/20/2020
WAKE systems,200704858,1930724355,145363.41,4/18/2020,4/14/2020
WAL-MAR systems,200769623,1930738143,56018.94,4/18/2020,4/20/2020
WAL-MAR trust,200769623,1930732401,77266.4,4/18/2020,4/20/2020
WAL-MAR trust,200769623,1930732401,77266.4,4/18/2020,4/20/2020
ROU trust,200790107,1930746736,39905.07,4/18/2020,4/15/2020
MEIJ systems,200780383,1930737180,14679.71,4/18/2020,4/17/2020
LOB foundation,140104409,-2147483648,89262.56,4/13/2020,4/21/2020
BJ'S  associates,200726979,1930730247,81593,4/18/2020,5/18/2020
WAL-MAR llc,200769623,1930731851,14523.79,4/18/2020,4/14/2020
SA foundation,200759878,1930732909,116324.03,5/18/2020,7/14/2020
ASSOCIAT trust,200772670,1930739090,83288.41,4/18/2020,4/20/2020
SA corp,200729942,1930740474,12403.54,4/18/2020,4/20/2020
DECA ,200230690,1930744969,920.37,4/24/2020,4/19/2020
TARG co,200744019,1930737968,6771.64,4/19/2020,4/16/2020
WAL-MAR us,200769623,1930740665,135.95,4/19/2020,4/23/2020
TARG us,200744019,1930739366,5336.49,4/19/2020,4/21/2020
DELHAIZE corp,100031704,1930748732,82364.46,4/19/2020,4/24/2020
C&S WH corp,200762301,1930732395,54296.69,4/19/2020,4/21/2020
WAL-M us,140106408,-2147483648,785.97,4/14/2020,4/21/2020
WAL-MAR trust,200769623,1930741906,84387.91,4/19/2020,4/18/2020
C&S WH corporation,200762301,1930739305,22549.69,4/19/2020,4/19/2020
LOB co,140104409,-2147483648,205338.82,4/17/2020,4/25/2020
WAL-MAR in,200769623,1930750035,6532.6,4/19/2020,6/4/2020
AL corp,200739006,1930743157,21300,4/19/2020,5/17/2020
SO corp,140104440,-2147483648,105051.7,4/23/2020,4/17/2020
WAKE ,200704858,1930747085,11734.35,4/19/2020,4/10/2020
TARG corp,200744019,1930741134,1018.86,4/19/2020,4/13/2020
WAL-MAR associates,200769623,1930739104,11360.66,4/19/2020,5/4/2020
WAL-MAR us,200769623,1930739327,17234.82,4/19/2020,4/22/2020
SA llc,200759878,1930745660,104947.9,4/19/2020,4/21/2020
JETR in,200705089,1930740659,13166.81,4/19/2020,4/21/2020
WAL-M us,140106408,-2147483648,568.89,4/14/2020,4/16/2020
KROG foundation,200029010,1930748583,26177.37,4/19/2020,4/18/2020
WAL-MAR corporation,200769623,1930739120,26656.88,4/19/2020,4/24/2020
TARG in,200744019,1930747206,20833.33,4/19/2020,4/21/2020
WAL-MAR in,200769623,1930731798,1329.23,4/19/2020,4/22/2020
DECA ,200230690,1930745279,9944.07,4/8/2020,4/18/2020
DECA in,200230690,1930744797,11968.93,4/11/2020,4/12/2020
TARG systems,200744019,1930741133,11622.99,4/19/2020,4/21/2020
FOOD systems,200712349,1930724272,4090.21,4/19/2020,4/21/2020
TARG corp,200744019,1930739787,17437.06,4/19/2020,4/21/2020
SA us,200759878,1930750912,67392.93,4/19/2020,4/18/2020
TARG systems,200744019,1930739946,8231.71,4/19/2020,4/21/2020
ALBERT co,200881076,1930745445,4299.82,4/19/2020,4/19/2020
TARG associates,200744019,1930744118,46161.03,4/19/2020,4/18/2020
TARG foundation,200744019,1930745457,23505.33,4/19/2020,5/17/2020
WAL-MAR corp,200769623,1930737072,1898.9,4/19/2020,4/15/2020
WAL-MAR llc,200769623,1930738883,16015.54,4/19/2020,4/15/2020
PUBLI foundation,200707822,1930737044,77490.98,4/19/2020,4/15/2020
WEGMAN us,200711029,1930748651,12395.6,4/19/2020,4/20/2020
COLABOR  foundation,140104340,-2147483648,51328.37,4/16/2020,4/18/2020
DECA corporation,200230690,1930745769,139.32,4/24/2020,4/28/2020
MEIJ corporation,200780383,1930747018,133302.78,4/19/2020,4/27/2020
WAL-MAR corporation,200769623,1930739143,32812.97,4/19/2020,4/18/2020
KROGER corp,200743123,1930740951,40797.06,4/19/2020,4/22/2020
TARG co,200744019,1930740275,25322.76,4/19/2020,4/21/2020
TARG foundation,200744019,1930747000,102274.25,4/19/2020,4/13/2020
WAL-MAR trust,200769623,1930741978,7516.28,4/19/2020,4/16/2020
TARG foundation,200744019,1930741113,7949.87,4/19/2020,4/21/2020
WAL-MAR in,200769623,1930746654,28069.35,4/19/2020,4/21/2020
METRO  co,140104423,-2147483648,103566.57,4/17/2020,4/13/2020
WAL-MAR corp,200769623,1930738785,69711.84,4/19/2020,4/21/2020
WAL-MAR trust,200769623,1930746950,17168.01,4/19/2020,4/21/2020
DECA corp,200230690,1930745282,1079.4,4/24/2020,4/26/2020
WAL-M in,140106408,-2147483648,110567.91,4/14/2020,4/15/2020
WAL-MAR systems,200769623,1930732621,8213.88,4/19/2020,4/18/2020
C&S WH associates,200762301,1930741917,59745.33,4/19/2020,4/15/2020
SOB foundation,140104249,-2147483648,36168.81,4/22/2020,4/14/2020
WAL-MAR foundation,200769623,1930745685,13283.06,4/19/2020,4/18/2020
RA us,200704045,1930748358,57260.77,4/19/2020,4/13/2020
W LEE  trust,200737918,1930740192,2678.19,4/19/2020,4/12/2020
WEGMAN systems,200711029,1930748652,21843.51,4/19/2020,4/21/2020
WAL-MAR corp,200769623,1930740968,9471.8,4/19/2020,4/21/2020
WAL-MAR llc,200769623,1930739025,15524.31,4/19/2020,4/18/2020
WAL-MAR trust,200769623,1930730650,15122.36,4/19/2020,4/20/2020
WAL-MAR co,200769623,1930739185,14073.98,4/19/2020,4/16/2020
WAL-MAR ,200769623,1930739667,4088.45,4/19/2020,4/21/2020
WAL-MAR associates,200769623,1930745688,455.84,4/19/2020,4/13/2020
DECA llc,200230690,1930744967,2089.38,4/11/2020,4/15/2020
SA corporation,200759878,1930733043,106270,5/19/2020,7/22/2020
DECA ,200230690,1930746163,5841.19,4/11/2020,4/18/2020
KROGER corp,200752302,1930737583,41924.02,4/19/2020,4/2/2020
COST corporation,200794332,1930737856,4350.15,4/19/2020,4/21/2020
ASSOCIAT in,200772670,1930746687,248.94,4/19/2020,4/22/2020
WAL-MAR in,200769623,1930738326,55386.38,4/19/2020,4/22/2020
ALBERT corp,200920735,1930746199,70262.31,4/19/2020,4/18/2020
SAFEW foundation,200772595,1930747831,116352.27,4/19/2020,4/21/2020
PUBLI us,200707822,1930748601,55170.57,4/19/2020,4/19/2020
INGL trust,200759082,1930746914,48502.93,4/19/2020,5/1/2020
WAL-MAR trust,200769623,1930748642,24816.9,4/19/2020,4/21/2020
PUBLI associates,200707822,1930738543,121336.5,4/19/2020,4/13/2020
CJR WH trust,100012991,-2147483648,81006.17,4/16/2020,4/15/2020
MEIJ ,200780383,1930739457,107047.79,4/19/2020,4/21/2020
ASSOCIAT corporation,200772670,1930749324,39762.98,4/19/2020,4/12/2020
GI llc,100036039,1930738243,43521.88,4/19/2020,4/15/2020
WAL-MAR associates,200769623,1930738945,46332.49,4/19/2020,5/17/2020
AL systems,200739006,1930739892,33248.98,4/19/2020,4/16/2020
SUPER  associates,200749225,1930741084,47636.2,4/19/2020,4/21/2020
WAL-MAR llc,200769623,1930739046,17012.06,4/19/2020,4/13/2020
WAL-MAR co,200769623,1930739363,45392.02,4/19/2020,4/21/2020
WAL-MAR ,200769623,1930744374,3421.92,4/19/2020,4/23/2020
WAL-MAR llc,200769623,1930737077,25555.22,4/19/2020,4/21/2020
PUBLI llc,200707822,1930746196,104007.91,4/19/2020,4/22/2020
DECA associates,200230690,1930744794,6367.63,4/24/2020,4/21/2020
DOT associates,200705742,1930751009,1409.12,4/19/2020,5/21/2020
WAL-MAR ,200769623,1930741653,41560.06,4/19/2020,4/20/2020
WAL-MAR in,200769623,1930732469,8300.84,4/19/2020,4/15/2020
WAL-MAR foundation,200769623,1930741647,37323.83,4/19/2020,4/21/2020
WAL-MAR ,200769623,1930740106,20351.64,4/19/2020,4/25/2020
WAL-MAR foundation,200769623,1930729369,60110.29,4/19/2020,7/5/2020
WAL-MAR corporation,200769623,1930742912,9750.41,4/19/2020,4/16/2020
DEC corporation,200416837,1930744955,245.52,4/24/2020,4/24/2020
TARG ,200744019,1930747208,11076.89,4/19/2020,4/20/2020
WAL-MAR ,200769623,1930739118,29357.6,4/19/2020,4/19/2020
COLABOR  corp,140104340,-2147483648,57159.89,4/17/2020,4/12/2020
WAL-MAR corporation,200769623,1930733911,33622.22,4/19/2020,4/21/2020
ALBERT systems,200920735,1930737043,60838.64,4/19/2020,5/16/2020
SA associates,200759878,1930785074,113581.05,5/19/2020,5/20/2020
WAL-MAR foundation,200769623,1930737012,14796.05,4/19/2020,4/22/2020
WAL-MAR ,200769623,1930739144,11058.39,4/19/2020,4/28/2020
WAL-MAR co,200769623,1930745674,15664.03,4/19/2020,4/14/2020
WAL-MAR trust,200769623,1930747099,53053.73,4/19/2020,5/16/2020
C&S WH systems,200762301,1930747600,5951.16,6/8/2020,4/24/2020
DELHAIZE foundation,100031704,1930745633,23184.56,4/19/2020,4/19/2020
H E BUT associates,200761734,1930748212,17827.41,4/19/2020,4/20/2020
WAL-MAR co,200769623,1930745687,661.11,4/19/2020,4/6/2020
OK systems,200739534,1930746593,12288.3,4/19/2020,4/21/2020
WAL-MAR co,200769623,1930742911,289.56,4/19/2020,4/14/2020
WAL-MAR in,200769623,1930745165,17119.27,4/19/2020,4/20/2020
TARG associates,200744019,1930743964,5745.48,4/19/2020,4/14/2020
NICH associates,200779111,1930733630,35737.24,4/19/2020,4/17/2020
SA associates,200759878,1930738469,24816.12,4/19/2020,4/20/2020
WAL-M ,140106408,-2147483648,5544,4/14/2020,4/21/2020
WAL-MAR trust,200769623,1930747232,6965.75,4/19/2020,4/25/2020
DECA foundation,200230690,1930744780,15.4,4/8/2020,4/20/2020
WAL-MAR llc,200769623,1930746927,41875.35,4/19/2020,4/20/2020
OK llc,200739534,1930749737,23401.99,4/19/2020,4/16/2020
WAL-MAR trust,200769623,1930747168,4272.16,4/20/2020,4/15/2020
C&S WH associates,200762301,1930745966,5531.87,4/20/2020,4/21/2020
WAL-MAR us,200769623,1930751291,29234.71,4/20/2020,4/22/2020
KROGER trust,200729290,1930747390,33003.98,4/20/2020,4/21/2020
SA systems,200759878,1930747473,48198.42,4/20/2020,5/5/2020
SA associates,200759878,1930746898,15005.29,4/20/2020,4/15/2020
BJ'S  foundation,200726979,1930752923,522.24,4/20/2020,4/16/2020
TARG systems,200744019,1930744499,291.69,4/20/2020,4/21/2020
BJ'S  foundation,200726979,1930780716,392.99,4/20/2020,4/15/2020
DOLLA llc,200148860,1930748882,68772.48,4/20/2020,4/21/2020
TARG foundation,200744019,1930741145,3422.79,4/20/2020,4/10/2020
KROGE systems,200519201,1930748073,5634.2,4/20/2020,4/15/2020
TARG associates,200744019,1930751193,64002.07,4/20/2020,5/14/2020
WAL-MAR co,200769623,1930739338,54199.74,4/20/2020,4/21/2020
SA foundation,200759878,1930748532,23328,4/20/2020,4/15/2020
SA systems,200759878,1930749440,137312.51,4/20/2020,4/21/2020
BJ'S  ,200726979,1930787864,412.71,4/20/2020,4/21/2020
LOB in,140104409,-2147483648,101263.69,4/16/2020,4/17/2020
ASSOCIAT llc,200772670,1930752811,51683.68,4/20/2020,5/17/2020
WAL-MAR ,200769623,1930747577,16194.4,4/20/2020,4/21/2020
TARG co,200744019,1930749165,20529.41,4/20/2020,4/23/2020
WAL-MAR foundation,200769623,1930747143,50815.94,4/20/2020,7/22/2020
COSTCO associates,140104429,-2147483648,55163.49,4/17/2020,5/4/2020
WAL-MAR co,200769623,1930749873,13635.52,4/20/2020,4/17/2020
SAFEW systems,200772595,1930753559,21913.34,4/20/2020,4/29/2020
WAL-MAR ,200769623,1930744344,14453.02,4/20/2020,4/19/2020
RA ,200704045,1930744447,29476.54,4/20/2020,4/16/2020
WAL-MAR foundation,200769623,1930742711,15527.75,4/20/2020,4/24/2020
WAL-MAR llc,200769623,1930750469,1929.78,4/20/2020,4/21/2020
GORDON F trust,140105847,-2147483648,2619.03,4/18/2020,4/15/2020
WEGMAN corporation,200711029,1930751640,16332.53,4/20/2020,4/17/2020
WAL-MAR ,200769623,1930749257,10265.76,4/20/2020,4/21/2020
WAL-MAR trust,200769623,1930748780,2237.43,4/20/2020,4/23/2020
OK corp,200739534,1930750472,122136.75,4/20/2020,4/21/2020
WAL-MAR systems,200769623,1930747530,57921.64,4/20/2020,4/15/2020
TARG in,200744019,1930750712,29567.43,4/20/2020,5/16/2020
SUPE llc,200936373,1930743220,100706.69,4/20/2020,4/16/2020
DOLLA associates,200148860,1930748674,59977.36,4/20/2020,4/20/2020
WAL-M in,140106408,-2147483648,38805.38,4/15/2020,4/22/2020
WAL-MAR ,200769623,1930744344,14453.02,4/20/2020,4/15/2020
COLABOR  corp,140104340,-2147483648,5963.56,4/17/2020,4/16/2020
WAL-M corp,140106408,-2147483648,29268.13,4/15/2020,4/29/2020
KROGE systems,200519201,1930748073,5634.2,4/20/2020,4/17/2020
FOOD  associates,200039093,1990572318,57861.12,5/10/2020,5/10/2020
SAFEW co,200772595,1930751748,32411.74,4/20/2020,4/20/2020
WAL-MAR trust,200769623,1930751954,15346.86,4/20/2020,4/16/2020
WAL-MAR foundation,200769623,1930732540,13599.69,4/20/2020,4/17/2020
LOB corp,140104409,-2147483648,180631.86,4/18/2020,4/18/2020
HEINZ us,CC6530,1991840331,124395.24,5/20/2020,4/17/2020
WAL-MAR systems,200769623,1930749409,15454.34,4/20/2020,4/18/2020
C&S WH in,200762301,1930748473,2647.71,6/9/2020,4/19/2020
BJ'S  us,200726979,1930748759,573.94,4/20/2020,5/27/2020
WAL-MAR co,200769623,1930752558,56349,4/20/2020,6/10/2020
DOLLA corp,200148860,1930747194,4370.06,6/9/2020,6/10/2020
WAL-MAR corporation,200769623,1930740471,46428.2,4/20/2020,4/20/2020
BUY- in,140104285,-2147483648,78221.66,4/24/2020,4/26/2020
WAL-MAR co,200769623,1930752558,56349,4/20/2020,4/16/2020
WAL-MAR ,200769623,1930748488,368.84,6/9/2020,6/9/2020
PUBLI llc,200707822,1930748355,131548.8,4/20/2020,4/20/2020
WAL-MAR ,200769623,1930749257,10265.76,4/20/2020,4/15/2020
BJ'S  in,200726979,1930750218,35.73,4/20/2020,5/5/2020
FAMILY co,200786288,1930749140,40373.56,4/20/2020,4/21/2020
WAL-MAR corp,200769623,1930750251,2677.34,4/20/2020,4/20/2020
WAL-MAR corp,200769623,1930745653,10915.69,4/20/2020,5/13/2020
SAFEW us,200772595,1930751703,85599.11,4/20/2020,4/17/2020
C&S WH systems,200762301,1930745967,5559.47,4/20/2020,4/21/2020
C&S WH corporation,200762301,1930749897,120635.42,4/20/2020,4/20/2020
SUPE us,200936373,1930750629,554.2,4/20/2020,5/16/2020
C&S WH llc,200762301,1930741085,134609.45,4/20/2020,4/21/2020
WAL-MAR in,200769623,1930748816,60731.04,4/20/2020,4/16/2020
AM associates,200418007,1930745429,86036.56,4/20/2020,4/20/2020
DOLLA systems,200148860,1930748690,12821.2,6/9/2020,4/20/2020
DELHAIZE corporation,100031704,1930747214,73852.1,4/20/2020,4/15/2020
PUBLI trust,200707822,1930745074,55790.47,4/20/2020,4/20/2020
BJ'S  llc,200726979,1930752303,535.44,4/20/2020,4/16/2020
WAL-MAR in,200769623,1930749002,24858.15,4/20/2020,6/10/2020
KROGER trust,200743123,1930752411,65209.31,4/20/2020,4/21/2020
C&S WH ,200762301,1930752270,33273.32,4/20/2020,4/20/2020
C&S W systems,200965912,1930750193,1569.91,6/9/2020,6/4/2020
KROGER co,200729290,1930751101,36555.12,4/20/2020,6/20/2020
C&S WH co,200762301,1930742692,108787.41,4/20/2020,4/20/2020
WAL-MAR corporation,200769623,1930749080,60027.62,4/20/2020,4/17/2020
WAL-MAR us,200769623,1930745977,33662.34,4/20/2020,4/21/2020
